学号,性别,专业,每周学习时长（小时）,上课出勤率,期中考试分数,作业完成率,期末考试分数
2023000865,女,财务管理,5.0,0.88,84.12,0.94,66.07
2023000866,女,财务管理,26.55,0.78,62.9,0.94,67.76
2023000867,女,工商管理,6.33,0.91,87.66,0.81,75.35
2023000868,女,人工智能,16.69,0.75,84.66,0.87,77.81
2023000869,女,电子商务,11.56,0.94,59.02,0.9,68.8
2023000870,女,工商管理,20.08,0.95,54.15,0.81,79.15
2023000871,女,财务管理,17.64,0.84,73.84,0.84,69.42
2023000872,女,大数据管理,11.55,0.62,86.32,0.79,63.02
2023000873,女,电子商务,13.05,0.81,65.98,0.75,50.82
2023000874,男,大数据管理,13.48,0.63,91.08,0.8,67.45
2023000875,男,人工智能,38.09,0.93,69.47,0.97,82.08
2023000876,女,电子商务,21.46,0.65,100.0,0.79,96.53
2023000877,女,工商管理,31.61,0.68,74.11,0.84,72.0
2023000878,女,工商管理,34.58,0.74,76.95,0.93,82.25
2023000879,男,大数据管理,9.99,0.66,84.06,0.74,67.92
2023000880,男,大数据管理,28.33,0.76,68.82,1.0,83.51
2023000881,女,财务管理,26.42,0.81,83.88,0.87,99.01
2023000882,女,大数据管理,16.4,0.82,68.61,0.98,64.96
2023000883,女,大数据管理,21.11,0.81,73.97,0.99,70.72
2023000884,女,大数据管理,16.76,0.67,76.53,0.78,77.05
2023000885,女,工商管理,21.29,0.64,57.47,0.97,68.97
2023000886,女,财务管理,30.91,0.84,79.6,0.71,91.33
2023000887,男,人工智能,7.32,0.88,67.62,0.74,67.13
2023000888,男,大数据管理,20.83,0.91,73.86,0.75,69.34
2023000889,男,财务管理,25.08,0.73,100.0,0.81,89.98
2023000890,男,电子商务,23.94,0.84,52.16,0.85,71.81
2023000891,女,人工智能,8.7,0.65,84.57,0.89,77.31
2023000892,女,大数据管理,5.0,0.98,91.06,0.75,78.86
2023000893,男,工商管理,29.89,0.92,100.0,0.82,98.49
2023000894,男,人工智能,17.08,0.81,80.32,0.71,81.08
2023000895,女,人工智能,15.44,0.9,71.89,0.96,83.25
2023000896,男,大数据管理,35.05,0.71,64.11,0.81,76.67
2023000897,男,人工智能,23.17,0.7,86.43,0.84,76.61
2023000898,女,大数据管理,27.94,0.78,87.57,0.94,84.69
2023000899,女,财务管理,14.98,0.6,69.49,0.82,73.83
2023000900,女,工商管理,24.33,0.99,88.43,0.83,77.48
2023000901,男,电子商务,20.72,0.73,95.72,0.9,85.53
2023000902,男,人工智能,25.94,0.9,76.64,0.72,72.68
2023000903,男,电子商务,12.93,0.92,68.25,0.86,67.45
2023000904,男,人工智能,15.3,0.8,68.25,0.74,75.72
2023000905,男,电子商务,14.33,0.92,85.26,0.81,77.38
2023000906,女,财务管理,21.44,0.93,89.16,0.98,84.2
2023000907,女,大数据管理,9.66,0.68,77.67,0.78,53.25
2023000908,男,大数据管理,14.8,0.79,86.92,0.82,81.25
2023000909,男,人工智能,14.12,0.73,80.89,0.79,75.85
2023000910,男,工商管理,19.22,0.71,74.72,0.81,87.23
2023000911,女,工商管理,14.25,0.89,63.62,1.0,64.59
2023000912,女,大数据管理,12.5,0.79,89.24,0.78,76.38
2023000913,男,财务管理,28.04,0.79,86.42,0.71,81.58
2023000914,女,人工智能,20.47,0.8,65.5,1.0,82.54
2023000915,女,工商管理,12.77,0.71,74.45,0.84,66.03
2023000916,男,人工智能,5.0,0.9,62.12,0.78,61.29
2023000917,女,财务管理,19.22,0.8,62.55,0.77,69.32
2023000918,女,人工智能,14.21,0.86,100.0,0.79,83.39
2023000919,女,大数据管理,27.32,0.77,86.59,0.93,79.26
2023000920,女,人工智能,10.93,0.83,86.19,0.81,74.9
2023000921,女,人工智能,26.56,0.77,62.48,0.96,78.35
2023000922,女,人工智能,23.42,0.95,92.15,0.73,75.05
2023000923,女,电子商务,16.57,0.68,65.97,0.91,66.34
2023000924,男,财务管理,28.75,0.66,73.05,0.86,68.75
2023000925,女,大数据管理,18.94,0.75,76.56,0.98,83.36
2023000926,男,大数据管理,35.21,0.89,99.77,0.71,81.73
2023000927,男,电子商务,33.99,0.63,68.46,0.72,67.77
2023000928,女,电子商务,19.78,0.93,80.72,0.7,77.75
2023000929,男,工商管理,7.33,0.98,76.68,0.77,82.83
2023000930,女,工商管理,18.63,0.65,66.33,0.96,66.0
2023000931,男,人工智能,13.97,0.73,88.38,0.94,71.39
2023000932,女,大数据管理,9.76,0.79,78.55,0.77,84.59
2023000933,女,财务管理,16.75,0.65,76.04,0.79,55.95
2023000934,女,电子商务,15.86,0.63,78.81,0.89,53.81
2023000935,男,大数据管理,16.63,0.95,75.95,0.89,77.45
2023000936,男,电子商务,7.08,0.76,44.64,0.83,45.08
2023000937,男,大数据管理,18.96,0.72,69.7,0.99,61.68
2023000938,男,财务管理,19.27,0.84,81.28,0.89,81.93
2023000939,女,人工智能,14.88,0.99,53.95,0.76,62.87
2023000940,男,财务管理,24.36,0.68,81.21,0.8,70.61
2023000941,女,电子商务,25.02,0.81,98.03,0.84,76.76
2023000942,男,人工智能,26.01,0.83,75.58,0.97,84.31
2023000943,男,财务管理,14.71,0.73,81.09,0.97,78.94
2023000944,男,人工智能,36.67,0.77,83.19,0.98,85.5
2023000945,女,电子商务,19.71,0.93,97.19,0.96,100.0
2023000946,女,电子商务,28.0,0.71,72.3,0.81,65.39
2023000947,女,财务管理,20.43,0.91,100.0,0.81,75.0
2023000948,男,人工智能,18.67,0.9,84.35,0.83,71.83
2023000949,男,工商管理,35.27,0.81,71.8,0.76,76.77
2023000950,女,工商管理,15.78,0.93,79.83,0.97,78.3
2023000951,女,大数据管理,26.0,0.8,58.08,0.81,64.39
2023000952,女,财务管理,17.65,0.93,100.0,0.89,89.14
2023000953,男,工商管理,20.48,0.65,60.1,0.9,53.52
2023000954,男,大数据管理,20.69,0.99,71.74,0.74,83.67
2023000955,男,大数据管理,14.93,0.97,65.3,0.93,67.86
2023000956,男,人工智能,19.52,0.71,77.61,0.95,82.37
2023000957,男,大数据管理,6.39,0.76,79.76,0.92,71.36
2023000958,男,电子商务,21.97,0.64,83.53,0.73,76.91
2023000959,女,人工智能,17.55,0.7,62.25,0.98,69.82
2023000960,男,财务管理,17.52,0.74,65.96,0.72,67.35
2023000961,女,工商管理,14.82,0.95,61.84,0.89,71.46
2023000962,女,电子商务,5.0,0.73,54.55,0.83,65.83
2023000963,男,电子商务,22.86,0.67,58.58,0.82,64.6
2023000964,女,工商管理,18.69,0.8,86.7,0.94,84.52
2023000965,女,人工智能,26.11,0.81,77.88,0.82,75.81
2023000966,男,财务管理,8.32,0.91,61.92,0.86,74.87
2023000967,男,人工智能,15.55,0.99,49.59,0.9,55.3
2023000968,女,工商管理,11.87,0.76,79.84,0.86,85.99
2023000969,女,工商管理,39.18,0.98,39.33,0.82,64.33
2023000970,女,人工智能,10.45,0.77,85.22,0.76,60.22
2023000971,男,电子商务,21.44,1.0,71.3,0.78,74.07
2023000972,男,人工智能,32.53,0.78,96.02,0.96,85.73
2023000973,女,财务管理,12.5,0.7,97.43,0.71,83.4
2023000974,男,大数据管理,11.74,0.9,92.0,0.79,71.45
2023000975,女,大数据管理,15.14,0.64,99.34,0.93,76.94
2023000976,男,大数据管理,15.1,0.78,90.15,0.88,65.15
2023000977,女,人工智能,24.3,0.91,67.33,0.77,67.59
2023000978,女,工商管理,13.69,0.67,87.59,0.87,62.59
2023000979,男,工商管理,11.51,0.72,71.72,0.76,49.81
2023000980,男,人工智能,36.96,0.63,93.16,0.79,91.19
2023000981,男,大数据管理,6.44,0.84,85.73,0.72,76.85
2023000982,女,大数据管理,21.19,0.67,91.72,0.78,81.55
2023000983,女,工商管理,28.14,0.71,50.95,0.72,53.96
2023000984,男,财务管理,23.86,0.86,96.13,0.81,84.58
2023000985,男,电子商务,20.75,0.86,100.0,0.86,86.06
2023000986,男,工商管理,5.0,0.85,91.42,0.72,66.42
2023000987,男,电子商务,23.34,0.69,89.77,0.75,89.76
2023000988,女,财务管理,18.63,0.89,77.8,0.95,82.85
2023000989,女,人工智能,25.7,0.99,86.25,0.86,82.11
2023000990,女,人工智能,29.31,0.78,60.77,0.86,69.78
2023000991,女,财务管理,13.37,0.69,78.98,0.78,69.95
2023000992,女,工商管理,14.54,0.75,84.41,0.99,59.41
2023000993,男,大数据管理,15.91,0.92,67.77,0.77,65.11
2023000994,男,电子商务,30.83,0.65,71.8,0.85,69.15
2023000995,女,人工智能,24.63,0.82,75.51,0.92,68.62
2023000996,女,人工智能,18.75,0.88,68.73,0.71,65.34
2023000997,女,大数据管理,11.55,0.93,57.38,0.76,75.71
2023000998,男,工商管理,19.36,0.86,86.78,0.75,82.32
2023000999,男,大数据管理,27.69,0.76,78.16,0.95,74.47
2023001000,女,工商管理,16.09,0.87,92.63,0.83,84.69
